year_of_info,registration_number,state_medical_council,name,father_or_husband_name,qualification_1,qualification_1_year,university_name,qualification_2,qualification_2_year,email,date_of_birth,date_of_registration,age,experience_years
2014,88126,Andhra Pradesh Medical Council,Omya Kothari,Ishani Date,MBBS,1998,NTR University of Health Sciences,,,divyagarde@example.org,29-07-1998,11-05-2021,27,28
2019,91927,Andhra Pradesh Medical Council,Hardik Nagarajan,Divya Lad,MBBS,2001,NTR University of Health Sciences,,,cdyal@example.org,04-06-1984,13-03-2008,41,25
2016,95277,Andhra Pradesh Medical Council,Bhavani Mukhopadhyay,Harish Ahuja,MBBS,2001,SVIMS Tirupati,MS (Ortho),2009,dubeyranveer@example.net,31-05-1985,04-06-2024,40,25
2008,51124,Andhra Pradesh Medical Council,Widisha Mody,Urvi Swamy,MBBS,1993,NTR University of Health Sciences,MD (Gen. Med.),2016,gabrielprabhu@example.org,10-04-1973,15-04-2019,52,33
2013,66134,Andhra Pradesh Medical Council,Jyoti Char,Wakeeta Cheema,MBBS,1993,SVIMS Tirupati,MS (Ortho),2003,lchokshi@example.com,21-08-1980,14-06-2006,45,33
2019,64791,Andhra Pradesh Medical Council,Radha Cherian,Unnati Krishnamurthy,MBBS,2003,SVIMS Tirupati,,,sachipatil@example.net,12-07-1975,01-07-2016,50,23
2005,62741,Andhra Pradesh Medical Council,Triya Tailor,Netra Murty,MBBS,1987,NTR University of Health Sciences,MD (Gen. Med.),1996,hemanginibalan@example.net,01-01-1973,25-04-1999,53,39
2021,71878,Andhra Pradesh Medical Council,Manan Sani,Vansha Shenoy,MBBS,2005,SVIMS Tirupati,MD (Gen. Med.),2015,harita00@example.com,09-03-1994,06-05-2019,31,21
2014,65864,Andhra Pradesh Medical Council,Samaksh Char,Sachi Nanda,MBBS,1996,SVIMS Tirupati,MD (Gen. Med.),2008,shivanibora@example.org,20-09-1978,19-01-2004,47,30
2019,64617,Andhra Pradesh Medical Council,Rohan Sawhney,Girindra Das,MBBS,1999,SVIMS Tirupati,MD (Pediatrics),2009,leela02@example.org,09-05-1999,12-12-2022,26,27
2006,97183,Andhra Pradesh Medical Council,Bachittar Kant,Hamsini Solanki,MBBS,1991,U.Mysore,MS (Ortho),2021,sneha48@example.org,07-01-1974,14-01-2024,52,35
2017,94427,Andhra Pradesh Medical Council,Unni Uppal,Nikita Kapadia,MBBS,2001,SVIMS Tirupati,,,muttizinal@example.com,24-01-1992,16-08-2017,33,25
2022,51038,Andhra Pradesh Medical Council,Amara Mane,Gaurangi Chatterjee,MBBS,2005,SVIMS Tirupati,,,mallwakeeta@example.org,04-10-1987,31-07-2014,38,21
2000,60311,Andhra Pradesh Medical Council,Madhavi Bansal,Karan Ramesh,MBBS,1983,NTR University of Health Sciences,,,hansnitesh@example.net,25-08-1982,09-09-2018,43,43
2002,70012,Andhra Pradesh Medical Council,Qushi Vig,Ishwar Pandey,MBBS,1985,SVIMS Tirupati,,,guharayaan@example.com,05-08-1993,05-06-2025,32,41
2022,47556,Andhra Pradesh Medical Council,Gaurika Parikh,Onkar Apte,MBBS,2003,NTR University of Health Sciences,MS (Ortho),2016,ravianika@example.net,06-03-1971,17-02-2018,54,23
2004,50793,Andhra Pradesh Medical Council,Fiyaz Kade,Advay Raman,MBBS,1985,NTR University of Health Sciences,MD (Pediatrics),1999,ishwarnatarajan@example.net,19-01-1989,01-11-2023,36,41
2016,84346,Andhra Pradesh Medical Council,Nikita Mangat,Praneel Rege,MBBS,1997,NTR University of Health Sciences,MD (Gen. Med.),2021,chandranvanya@example.com,19-06-1978,22-09-2024,47,29
2017,79131,Andhra Pradesh Medical Council,Yashica Zacharia,Yoshita Sanghvi,MBBS,2002,NTR University of Health Sciences,MS (Ortho),2007,wseth@example.org,20-07-1995,22-09-2019,30,24
2008,79831,Andhra Pradesh Medical Council,Pooja Gole,Maanav Barad,MBBS,1993,U.Mysore,MD (Gen. Med.),2013,uvarma@example.org,21-07-1985,29-12-2016,40,33
2000,77975,Andhra Pradesh Medical Council,Advika Chowdhury,Rushil Dass,MBBS,1981,NTR University of Health Sciences,MS (Ortho),2015,dhingraanthony@example.com,25-10-1982,13-06-2018,43,45
2023,59997,Andhra Pradesh Medical Council,Keya Master,Sara Vala,MBBS,2004,NTR University of Health Sciences,,,nattaayush@example.net,13-05-1977,04-04-2011,48,22
2000,64598,Andhra Pradesh Medical Council,Tanay Keer,Vihaan Gala,MBBS,1984,NTR University of Health Sciences,MD (Gen. Med.),2008,krishnabatra@example.org,28-12-1980,04-03-2009,45,42
2010,70566,Andhra Pradesh Medical Council,Dev Mishra,Eiravati Dube,MBBS,1995,NTR University of Health Sciences,MD (Gen. Med.),2021,rehaan57@example.com,05-05-1990,10-12-2022,35,31
2001,85243,Andhra Pradesh Medical Council,Widisha Sridhar,Dalaja Brar,MBBS,1984,SVIMS Tirupati,MS (Ortho),2021,knaidu@example.net,27-04-1977,16-09-2022,48,42
2004,90685,Andhra Pradesh Medical Council,Aashi Samra,Yatin Wason,MBBS,1984,SVIMS Tirupati,MD (Pediatrics),2008,qpandit@example.com,12-07-1980,27-11-2011,45,42
2008,82169,Andhra Pradesh Medical Council,Wyatt Jani,Harita Bhatnagar,MBBS,1991,U.Mysore,MS (Ortho),1999,memonwriddhish@example.net,19-11-1982,23-02-2019,43,35
2018,59803,Andhra Pradesh Medical Council,Vrishti Dugal,Imaran Bhargava,MBBS,2001,U.Mysore,,,jonathansule@example.net,31-07-1996,16-01-2021,29,25
2021,63160,Andhra Pradesh Medical Council,Nirja Nath,Harsh Goel,MBBS,2006,NTR University of Health Sciences,,,miteshbhatti@example.com,19-04-1990,19-02-2025,35,20
2005,40400,Andhra Pradesh Medical Council,Adya Bhatt,Jason Grover,MBBS,1988,U.Mysore,MD (Gen. Med.),2017,dparmar@example.net,20-09-1986,13-02-2018,39,38
2019,91492,Andhra Pradesh Medical Council,Dalbir Nazareth,Radhika Parmer,MBBS,2001,NTR University of Health Sciences,MD (Pediatrics),2019,aayush73@example.org,22-07-1991,03-02-2020,34,25
2021,52514,Andhra Pradesh Medical Council,Udarsh Rajan,Upkaar Sagar,MBBS,2006,SVIMS Tirupati,MD (Pediatrics),2023,qabil51@example.com,26-11-1999,19-11-2024,26,20
2010,96793,Andhra Pradesh Medical Council,Brinda Dave,Dayita Tiwari,MBBS,1992,NTR University of Health Sciences,MD (Pediatrics),2003,jonathanraj@example.net,01-01-1976,23-07-2001,50,34
2009,93363,Andhra Pradesh Medical Council,Kiaan Jaggi,Victor Apte,MBBS,1992,NTR University of Health Sciences,MD (Gen. Med.),2001,edayal@example.org,28-05-1984,19-09-2013,41,34
2010,83650,Andhra Pradesh Medical Council,Bachittar Contractor,Vrinda Mann,MBBS,1994,SVIMS Tirupati,,,quincyrandhawa@example.org,02-05-2000,24-10-2024,25,32
2004,62953,Andhra Pradesh Medical Council,Lajita Narayanan,Gunbir Gaba,MBBS,1984,NTR University of Health Sciences,MS (Ortho),1996,rajanfrederick@example.net,17-04-1982,09-03-2011,43,42
2019,54232,Andhra Pradesh Medical Council,Chanchal Bhattacharyya,Tripti Rai,MBBS,2002,U.Mysore,MS (Ortho),2019,ayushman59@example.net,12-02-1991,26-06-2022,34,24
2003,70024,Andhra Pradesh Medical Council,Wishi Raval,Krishna Brahmbhatt,MBBS,1984,SVIMS Tirupati,MD (Pediatrics),2012,ayaan51@example.net,03-07-1971,21-07-2013,54,42
2012,69046,Andhra Pradesh Medical Council,Simon Ahluwalia,Chandresh Shroff,MBBS,1997,NTR University of Health Sciences,MD (Pediatrics),2006,girik93@example.org,17-11-1981,06-01-2008,44,29
2022,68109,Andhra Pradesh Medical Council,Hemal Batta,Aarav Wable,MBBS,2007,U.Mysore,MD (Pediatrics),2015,ewarrior@example.com,21-11-1981,02-10-2023,44,19
2021,92355,Andhra Pradesh Medical Council,Sachi Kadakia,Brijesh Baria,MBBS,2005,U.Mysore,MD (Pediatrics),2015,wbasu@example.com,24-02-1972,22-09-2022,53,21
2003,70212,Andhra Pradesh Medical Council,Kritika Gulati,Dayita Sani,MBBS,1983,SVIMS Tirupati,MD (Pediatrics),1996,dayalupma@example.com,26-03-1975,29-03-1997,50,43
2019,54826,Andhra Pradesh Medical Council,Elijah Bora,Eta Das,MBBS,2003,U.Mysore,MS (Ortho),2016,utkarsh71@example.com,10-01-1990,23-10-2018,36,23
2019,52950,Andhra Pradesh Medical Council,Zehaan Bala,Sai Sura,MBBS,2004,U.Mysore,MD (Pediatrics),2014,shravya49@example.org,06-06-1996,28-03-2023,29,22
2020,76031,Andhra Pradesh Medical Council,Eshana Shukla,Ayaan Arora,MBBS,2001,NTR University of Health Sciences,MS (Ortho),2021,yaminikapoor@example.org,13-11-1980,16-02-2024,45,25
2006,78107,Andhra Pradesh Medical Council,Chakradev Rajagopalan,Mohini Narasimhan,MBBS,1991,NTR University of Health Sciences,MD (Pediatrics),1999,waida28@example.com,27-07-1989,31-10-2014,36,35
2008,87954,Andhra Pradesh Medical Council,Sai Pillai,Hitesh Shetty,MBBS,1990,U.Mysore,MD (Pediatrics),1999,mangalnandini@example.net,19-12-1971,08-08-1994,54,36
2022,43029,Andhra Pradesh Medical Council,Gauri Char,Balhaar Dhillon,MBBS,2006,NTR University of Health Sciences,MS (Ortho),2012,kbarad@example.net,15-03-2000,07-02-2025,25,20
2015,63754,Andhra Pradesh Medical Council,Bakhshi Chokshi,Yachana Dubey,MBBS,1999,SVIMS Tirupati,MD (Gen. Med.),2008,dasamol@example.org,06-12-1990,29-04-2015,35,27
2012,67804,Andhra Pradesh Medical Council,Isaiah Balay,Oliver Raja,MBBS,1996,U.Mysore,MD (Pediatrics),2003,guptajacob@example.net,10-02-1972,11-06-1999,53,30
2019,94374,Andhra Pradesh Medical Council,Wahab Gulati,Tripti Panchal,MBBS,2004,SVIMS Tirupati,MS (Ortho),2000,palladakshesh@example.com,27-08-1976,17-01-2002,49,22
2022,54828,Andhra Pradesh Medical Council,Janya Handa,Pahal Pathak,MBBS,2005,SVIMS Tirupati,MS (Ortho),1997,sanironith@example.org,01-07-1971,14-06-1998,54,21
2002,42552,Andhra Pradesh Medical Council,Pratyush Saha,Teerth Raman,MBBS,1982,SVIMS Tirupati,MD (Gen. Med.),2012,yastisagar@example.org,29-07-1991,13-07-2015,34,44
2000,81240,Andhra Pradesh Medical Council,Jeevika Srivastava,Yadavi Pingle,MBBS,1980,SVIMS Tirupati,MD (Gen. Med.),1991,bainsjason@example.org,18-12-1992,18-03-2020,33,46
2005,93413,Andhra Pradesh Medical Council,Eshana Tak,Viraj Mann,MBBS,1989,U.Mysore,MS (Ortho),1998,eoommen@example.com,22-01-1977,25-11-2018,48,37
2001,44115,Andhra Pradesh Medical Council,Arya Bandi,Nitara Chacko,MBBS,1982,SVIMS Tirupati,,,jeremiah81@example.net,05-05-1989,27-04-2022,36,44
2022,86774,Andhra Pradesh Medical Council,Mitesh Narayanan,Nidhi Anne,MBBS,2003,NTR University of Health Sciences,MS (Ortho),2015,samaedhitha@example.org,17-07-1987,20-09-2009,38,23
2001,88329,Andhra Pradesh Medical Council,Vrinda Choudhry,Megha Borra,MBBS,1981,SVIMS Tirupati,MD (Pediatrics),1991,anagy@example.com,27-08-1979,17-06-2016,46,45
2023,62133,Andhra Pradesh Medical Council,Aradhana Sen,Jyoti Rajan,MBBS,2004,NTR University of Health Sciences,MD (Pediatrics),2015,edhithauppal@example.net,17-09-1990,26-08-2017,35,22
2001,75869,Andhra Pradesh Medical Council,Charita Bal,Gunbir Doshi,MBBS,1982,U.Mysore,MD (Pediatrics),2011,oboase@example.org,04-02-1988,02-12-2012,37,44
2021,49910,Andhra Pradesh Medical Council,Om Mani,Jeremiah Chada,MBBS,2003,U.Mysore,MD (Pediatrics),2022,jayaramannimrat@example.com,09-02-1993,13-04-2024,32,23
2013,72045,Andhra Pradesh Medical Council,Bahadurjit Shroff,Warda Narula,MBBS,1998,NTR University of Health Sciences,,,aradhanapuri@example.org,27-08-1976,17-11-2015,49,28
2019,41098,Andhra Pradesh Medical Council,Meghana Bawa,Abeer Venkataraman,MBBS,1999,SVIMS Tirupati,MD (Pediatrics),2009,madhav95@example.net,07-10-1994,01-03-2021,31,27
2007,94297,Andhra Pradesh Medical Council,Thomas Behl,Arjun Kamdar,MBBS,1991,SVIMS Tirupati,MD (Gen. Med.),2001,pkhanna@example.net,14-06-1996,27-11-2025,29,35
2019,92039,Andhra Pradesh Medical Council,Janya Palla,Ikshita Loyal,MBBS,2003,SVIMS Tirupati,MD (Pediatrics),2009,sunderdaksha@example.net,21-05-1999,15-04-2022,26,23
2022,82693,Andhra Pradesh Medical Council,Raghav Puri,Gaurangi Chacko,MBBS,2007,NTR University of Health Sciences,MS (Ortho),2012,tchakraborty@example.com,07-05-1990,20-08-2013,35,19
2014,73081,Andhra Pradesh Medical Council,Samarth Tandon,Rishi Sule,MBBS,1998,U.Mysore,MD (Gen. Med.),2006,ykara@example.net,06-07-1984,15-07-2007,41,28
2006,89604,Andhra Pradesh Medical Council,Eta Golla,Gautami Pillay,MBBS,1989,NTR University of Health Sciences,MD (Gen. Med.),2023,wahab24@example.com,24-02-1991,24-10-2024,34,37
2021,78875,Andhra Pradesh Medical Council,Baljiwan Ratti,Nakul Sridhar,MBBS,2004,SVIMS Tirupati,MS (Ortho),2014,bahadurjit95@example.com,04-07-1989,02-01-2017,36,22
2014,52596,Andhra Pradesh Medical Council,Orinder Verma,Luke Keer,MBBS,1998,U.Mysore,MS (Ortho),2022,niteshjayaraman@example.org,22-11-1994,23-01-2024,31,28
2012,66678,Andhra Pradesh Medical Council,Isaiah Nigam,Nikita Hayre,MBBS,1993,NTR University of Health Sciences,MD (Pediatrics),2002,sampathchavvi@example.com,12-11-1983,10-04-2011,42,33
2011,67736,Andhra Pradesh Medical Council,Keya Korpal,Aarnav Naik,MBBS,1993,SVIMS Tirupati,MS (Ortho),1997,charvi03@example.com,01-10-1976,09-06-2000,49,33
2003,44117,Andhra Pradesh Medical Council,Akshay Natarajan,Nidhi Wadhwa,MBBS,1983,SVIMS Tirupati,,,osavant@example.net,12-11-1975,09-07-2003,50,43
2016,76764,Andhra Pradesh Medical Council,Sai Ben,Damyanti Mitter,MBBS,1998,NTR University of Health Sciences,MS (Ortho),2015,idikaranganathan@example.net,24-06-1991,26-06-2016,34,28
2001,80847,Andhra Pradesh Medical Council,Nathaniel Narula,Daksh Vohra,MBBS,1981,NTR University of Health Sciences,MD (Gen. Med.),1996,jhaverihritik@example.org,09-10-1986,04-07-2013,39,45
2016,77699,Andhra Pradesh Medical Council,Tarak Kapoor,Abhimanyu Krishnan,MBBS,1998,SVIMS Tirupati,,,ghegde@example.org,23-07-1986,05-04-2013,39,28
2001,92944,Andhra Pradesh Medical Council,Yashica Subramaniam,Yochana Kunda,MBBS,1981,U.Mysore,,,ishwarmukherjee@example.org,31-07-1984,06-10-2017,41,45
2021,77281,Andhra Pradesh Medical Council,Omkaar Sarraf,Chameli Kamdar,MBBS,2006,SVIMS Tirupati,MS (Ortho),2019,esharma@example.net,09-08-1984,27-04-2022,41,20
2014,65298,Andhra Pradesh Medical Council,Zayan Chopra,Yatin Chauhan,MBBS,1994,NTR University of Health Sciences,,,zarna79@example.com,23-10-1987,25-08-2016,38,32
2013,48007,Andhra Pradesh Medical Council,Nitara Patla,Pushti Mannan,MBBS,1995,SVIMS Tirupati,MD (Pediatrics),2017,lekhabarad@example.org,18-03-1997,08-03-2020,28,31
2016,96305,Andhra Pradesh Medical Council,Bhavini Iyengar,Varsha Sheth,MBBS,1998,SVIMS Tirupati,,,darika67@example.net,12-01-1971,18-02-2005,55,28
2007,85456,Andhra Pradesh Medical Council,Orinder Ramaswamy,Lohit Gade,MBBS,1990,U.Mysore,,,paitamanna@example.org,12-10-1976,05-05-2018,49,36
2010,84408,Andhra Pradesh Medical Council,Nimrat Chakrabarti,Balhaar Bhatt,MBBS,1991,SVIMS Tirupati,MD (Pediatrics),2002,indiramammen@example.net,08-08-1977,03-04-2004,48,35
2013,73751,Andhra Pradesh Medical Council,Tripti Pandit,Vyanjana Apte,MBBS,1997,NTR University of Health Sciences,MS (Ortho),2013,mdeshmukh@example.org,27-03-1986,02-08-2014,39,29
2019,55581,Andhra Pradesh Medical Council,Abeer Kulkarni,Zarna Raghavan,MBBS,2001,NTR University of Health Sciences,MD (Pediatrics),2011,surioeshi@example.org,11-04-1986,04-10-2018,39,25
2020,61901,Andhra Pradesh Medical Council,Ronith Sandhu,Anika Bail,MBBS,2004,U.Mysore,MD (Pediatrics),2024,samasaumya@example.org,23-04-1997,02-05-2025,28,22
2007,43759,Andhra Pradesh Medical Council,Edhitha Varkey,Arin Kalita,MBBS,1988,U.Mysore,MD (Pediatrics),2002,charan04@example.net,12-05-1995,01-11-2019,30,38
2008,65951,Andhra Pradesh Medical Council,Raghav Garg,Triya Divan,MBBS,1992,SVIMS Tirupati,MD (Gen. Med.),2000,xmall@example.net,30-07-1977,14-09-2023,48,34
2019,55299,Andhra Pradesh Medical Council,Umang Gola,Hemang Soman,MBBS,2000,NTR University of Health Sciences,MD (Gen. Med.),2012,eghosh@example.com,05-06-1994,05-06-2016,31,26
2020,42096,Andhra Pradesh Medical Council,Pallavi Wagle,Kavya Joshi,MBBS,2005,U.Mysore,MD (Gen. Med.),2020,amodi@example.net,17-04-1991,11-05-2021,34,21
2011,84325,Andhra Pradesh Medical Council,Ronith Contractor,Dalaja Chadha,MBBS,1992,NTR University of Health Sciences,MD (Gen. Med.),2001,dashansh@example.org,30-08-1983,06-02-2015,42,34
2022,50123,Andhra Pradesh Medical Council,Raksha Barad,Chasmum Acharya,MBBS,2005,SVIMS Tirupati,MS (Ortho),2019,deshpandehritik@example.net,26-11-1974,08-01-2020,51,21
2016,97098,Andhra Pradesh Medical Council,Fitan Varkey,Lila Ben,MBBS,2000,SVIMS Tirupati,MD (Pediatrics),2018,waliqasim@example.net,31-05-1997,14-09-2021,28,26
2003,70443,Andhra Pradesh Medical Council,Simon Mitter,Maya Vora,MBBS,1985,SVIMS Tirupati,MD (Pediatrics),2019,kritika05@example.com,22-08-1982,22-09-2022,43,41
2012,40785,Andhra Pradesh Medical Council,Jacob Srinivasan,Devansh Jaggi,MBBS,1996,SVIMS Tirupati,MS (Ortho),2002,ryan34@example.com,18-05-1995,27-08-2018,30,30
2006,65836,Andhra Pradesh Medical Council,Krishna Thakkar,Wazir Savant,MBBS,1989,SVIMS Tirupati,,,maxdara@example.org,26-10-1976,01-09-2001,49,37
2008,71723,Andhra Pradesh Medical Council,Vansha Chaudhuri,Vanya Patla,MBBS,1990,NTR University of Health Sciences,,,krishtriya@example.net,01-06-1995,15-04-2021,30,36
2006,51085,Andhra Pradesh Medical Council,Keya Dey,Bhavna Bhasin,MBBS,1990,NTR University of Health Sciences,MD (Gen. Med.),2011,mohiniraj@example.com,01-05-1978,12-03-2012,47,36
2018,63739,Andhra Pradesh Medical Council,Upkaar Chokshi,Ayushman Shankar,MBBS,2002,NTR University of Health Sciences,MD (Pediatrics),2012,wardanarasimhan@example.org,06-10-1993,12-11-2018,32,24
2009,46196,Andhra Pradesh Medical Council,Warinder Kadakia,Tanvi Bose,MBBS,1993,NTR University of Health Sciences,MD (Pediatrics),2022,qmunshi@example.com,16-04-1989,04-06-2023,36,33
2018,51346,Andhra Pradesh Medical Council,Wazir Merchant,Chakradhar Sarraf,MBBS,2002,NTR University of Health Sciences,MD (Pediatrics),2017,anjalimerchant@example.net,20-05-1994,27-01-2019,31,24
2004,81786,Andhra Pradesh Medical Council,Banjeet Sekhon,Pushti Bhagat,MBBS,1988,NTR University of Health Sciences,MD (Gen. Med.),2022,ojasdugal@example.com,24-10-1987,20-09-2025,38,38
2014,65262,Andhra Pradesh Medical Council,Praneel Choudhry,Yachana Lall,MBBS,1995,SVIMS Tirupati,MD (Gen. Med.),2019,aahana21@example.net,14-11-1994,07-06-2021,31,31
2018,51742,Andhra Pradesh Medical Council,Yahvi Lanka,Megha Patla,MBBS,1999,U.Mysore,,,xtiwari@example.com,13-07-1970,04-06-2003,55,27
2005,88812,Andhra Pradesh Medical Council,Amara Borra,Siddharth Pillay,MBBS,1989,NTR University of Health Sciences,,,ywalia@example.net,24-10-1985,27-03-2014,40,37
2000,44725,Andhra Pradesh Medical Council,Qarin Jhaveri,Hardik Thaman,MBBS,1981,U.Mysore,MS (Ortho),1991,chatresh65@example.com,01-12-1998,08-04-2021,27,45
2011,42009,Andhra Pradesh Medical Council,Suhani Sule,Ubika Morar,MBBS,1992,NTR University of Health Sciences,MS (Ortho),2015,adityazacharia@example.net,09-07-1982,05-12-2016,43,34
2014,79943,Andhra Pradesh Medical Council,Faraj Loyal,Kevin Savant,MBBS,1995,U.Mysore,,,yohannanwishi@example.com,16-04-1980,23-05-2021,45,31
2010,50374,Andhra Pradesh Medical Council,Lopa Kota,Janani Peri,MBBS,1995,SVIMS Tirupati,MD (Gen. Med.),2002,trivediekalinga@example.org,27-01-1974,15-12-2022,51,31
2011,53700,Andhra Pradesh Medical Council,Ekalinga Nanda,Kritika Grewal,MBBS,1994,SVIMS Tirupati,MD (Pediatrics),2023,adityabhatti@example.net,28-12-1979,02-01-2026,46,32
2003,67259,Andhra Pradesh Medical Council,Manbir Kala,Ganga Hayer,MBBS,1985,U.Mysore,,,jsaraf@example.com,28-08-1993,20-10-2024,32,41
2014,96332,Andhra Pradesh Medical Council,Praneel Magar,Samesh Sachdeva,MBBS,1997,U.Mysore,MD (Pediatrics),2009,chamandayal@example.net,12-04-1996,14-05-2018,29,29
2019,76399,Andhra Pradesh Medical Council,Zarna Dhillon,Isaac Thakur,MBBS,2002,U.Mysore,MD (Gen. Med.),2014,ikshitasur@example.com,16-05-1989,27-07-2025,36,24
2018,88394,Andhra Pradesh Medical Council,Mohammed Krishnamurthy,Triveni Kunda,MBBS,2000,NTR University of Health Sciences,MD (Pediatrics),2010,dubeydarsh@example.com,27-03-1999,19-04-2024,26,26
2006,73882,Andhra Pradesh Medical Council,Yamini Sengupta,Isaac Lanka,MBBS,1991,SVIMS Tirupati,MD (Gen. Med.),2023,avnikanda@example.net,04-03-1990,13-03-2024,35,35
2018,43998,Andhra Pradesh Medical Council,Warda Jani,Wridesh Natarajan,MBBS,2000,U.Mysore,,,eeshabhavsar@example.org,04-08-1977,08-04-2012,48,26
2023,84544,Andhra Pradesh Medical Council,Avi Munshi,Yochana Ahluwalia,MBBS,2006,NTR University of Health Sciences,MD (Pediatrics),2017,babuquincy@example.org,06-03-1998,09-11-2020,27,20
2023,83995,Andhra Pradesh Medical Council,Meera Palla,Raghav Minhas,MBBS,2007,NTR University of Health Sciences,MD (Gen. Med.),2015,irya06@example.com,14-02-1988,07-10-2016,37,19
2011,65899,Andhra Pradesh Medical Council,Vasudha Kakar,Gaurangi Dhar,MBBS,1993,NTR University of Health Sciences,MS (Ortho),2004,chaturaboase@example.org,25-02-1979,29-01-2003,46,33
2020,95201,Andhra Pradesh Medical Council,Tanish Ratta,Girindra Konda,MBBS,2004,NTR University of Health Sciences,,,dharomaja@example.net,12-05-1971,16-01-2017,54,22
2015,70540,Andhra Pradesh Medical Council,Mekhala Dada,Megha Parmar,MBBS,1997,NTR University of Health Sciences,MS (Ortho),2010,dmunshi@example.org,21-07-1992,06-01-2019,33,29
2013,68311,Andhra Pradesh Medical Council,Hemani Kaur,Widisha Badal,MBBS,1994,U.Mysore,MD (Pediatrics),2017,yradhakrishnan@example.net,05-01-1989,05-01-2019,37,32
2020,77043,Andhra Pradesh Medical Council,Vasudha Arya,Samaksh Yohannan,MBBS,2004,U.Mysore,,,faqidpandit@example.org,09-11-1996,14-01-2024,29,22
2004,74757,Andhra Pradesh Medical Council,Neha Nagar,Priya Sama,MBBS,1989,NTR University of Health Sciences,MS (Ortho),2015,dhaliwalishanvi@example.org,25-11-1979,09-01-2018,46,37
2007,54233,Andhra Pradesh Medical Council,Adya Gade,Pooja Sagar,MBBS,1988,U.Mysore,MD (Gen. Med.),2016,inayamunshi@example.net,14-02-1985,18-09-2019,40,38
2017,98342,Andhra Pradesh Medical Council,Fitan Chowdhury,Sara Kashyap,MBBS,1998,U.Mysore,MD (Gen. Med.),2021,zvenkataraman@example.com,01-01-1980,03-03-2024,46,28
2019,84631,Andhra Pradesh Medical Council,Rajeshri Palla,Jason Boase,MBBS,2003,SVIMS Tirupati,MS (Ortho),2010,gauriedwin@example.com,02-08-1978,21-08-2012,47,23
2016,65669,Andhra Pradesh Medical Council,Chameli Saxena,Kevin Bedi,MBBS,1997,NTR University of Health Sciences,MS (Ortho),2008,guneet20@example.net,14-04-1993,10-04-2025,32,29
2018,62299,Andhra Pradesh Medical Council,Kiaan Bahl,Ojas Vaidya,MBBS,2001,SVIMS Tirupati,MS (Ortho),2010,kurianowen@example.net,12-12-1976,04-03-2005,49,25
2023,58552,Andhra Pradesh Medical Council,Pratyush Natarajan,Warjas Seshadri,MBBS,2005,U.Mysore,MD (Gen. Med.),2016,ethanrama@example.com,04-10-1984,13-06-2022,41,21
2012,92027,Andhra Pradesh Medical Council,Edhitha Manda,Sachi Sankar,MBBS,1995,U.Mysore,MD (Gen. Med.),2021,qsunder@example.org,12-02-1998,01-06-2024,27,31
2009,96620,Andhra Pradesh Medical Council,Lopa Comar,Yutika Kuruvilla,MBBS,1989,SVIMS Tirupati,MS (Ortho),1999,lkala@example.com,30-05-1983,30-12-2008,42,37
2005,97132,Andhra Pradesh Medical Council,Sathvik Atwal,Zashil Mani,MBBS,1990,SVIMS Tirupati,MD (Pediatrics),2020,vaishnavi07@example.net,25-09-1994,25-05-2022,31,36
2004,67171,Andhra Pradesh Medical Council,Ekiya Dalal,Jackson Srivastava,MBBS,1985,SVIMS Tirupati,,,girikranganathan@example.com,03-10-1977,25-02-2016,48,41
2017,85232,Andhra Pradesh Medical Council,Agastya Nair,Triveni Modi,MBBS,2002,NTR University of Health Sciences,MD (Gen. Med.),2018,ramvedika@example.com,03-11-1994,23-01-2021,31,24
2018,82993,Andhra Pradesh Medical Council,Chakradev Ben,Frederick Khatri,MBBS,2001,U.Mysore,,,shenoykrish@example.net,21-09-1985,29-02-2008,40,25
2009,43478,Andhra Pradesh Medical Council,Turvi Bose,Jason Varghese,MBBS,1992,U.Mysore,MS (Ortho),2022,garima17@example.net,18-12-1990,25-01-2023,35,34
2009,87238,Andhra Pradesh Medical Council,Ridhi Gala,Isha Mangat,MBBS,1992,SVIMS Tirupati,MS (Ortho),2019,bsarna@example.org,21-03-1997,21-04-2021,28,34
2023,95593,Andhra Pradesh Medical Council,Arin Chokshi,Pranav Contractor,MBBS,2005,U.Mysore,MD (Gen. Med.),2009,ygopal@example.com,17-09-1982,10-08-2011,43,21
2009,40268,Andhra Pradesh Medical Council,Harita Agrawal,Fariq Mandal,MBBS,1994,SVIMS Tirupati,MS (Ortho),2010,zilmil30@example.net,22-07-1971,13-03-2012,54,32
2014,50861,Andhra Pradesh Medical Council,Kamya Soman,Noah Chauhan,MBBS,1998,U.Mysore,MD (Pediatrics),2002,vedikaoza@example.com,17-11-1982,03-10-2005,43,28
2020,90366,Andhra Pradesh Medical Council,Unnati Venkatesh,Chasmum Dora,MBBS,2003,U.Mysore,,,kalpit66@example.com,03-12-1981,04-07-2005,44,23
2011,72789,Andhra Pradesh Medical Council,Nidra Sami,Aayush Khalsa,MBBS,1993,NTR University of Health Sciences,MS (Ortho),2005,ocherian@example.org,26-01-1975,09-06-2014,50,33
2001,80918,Andhra Pradesh Medical Council,Hredhaan Dayal,Chaitanya Kaur,MBBS,1981,U.Mysore,MD (Pediatrics),1993,vinayasachar@example.org,28-03-1998,18-07-2025,27,45
